Current_epoch,Train_loss,Validation_loss
1, 0.9730958938598633, 0.9265163540840149
2, 0.95871502161026, 0.9064671397209167
3, 0.9302643537521362, 0.8946048617362976
4, 0.9180636405944824, 0.8905125856399536
5, 0.9087531566619873, 0.8871110677719116
6, 0.9017719030380249, 0.8762158155441284
7, 0.8967989683151245, 0.8753504157066345
8, 0.8962265253067017, 0.8710195422172546
9, 0.8895346522331238, 0.868509829044342
10, 0.887826144695282, 0.8594316244125366
11, 0.8853000998497009, 0.8660438060760498
12, 0.8829200267791748, 0.8624817132949829
13, 0.876702070236206, 0.8549724817276001
14, 0.8758373260498047, 0.8558812737464905
15, 0.8739243745803833, 0.8483248353004456
16, 0.8731016516685486, 0.8441131711006165
17, 0.8692149519920349, 0.8461332321166992
18, 0.8660466074943542, 0.8407914042472839
19, 0.8647396564483643, 0.837240993976593
20, 0.8620920181274414, 0.8362891674041748
21, 0.8605215549468994, 0.8372379541397095
22, 0.8563498258590698, 0.8357985615730286
23, 0.853850245475769, 0.8241543173789978
24, 0.851352870464325, 0.8322100639343262
25, 0.8506211042404175, 0.8191273808479309
26, 0.8469900488853455, 0.8185814619064331
27, 0.8457006216049194, 0.8266147375106812
28, 0.8428183794021606, 0.8190579414367676
29, 0.8390492796897888, 0.8160873651504517
30, 0.8339141607284546, 0.8108065128326416
31, 0.8301962018013, 0.8121257424354553
32, 0.8306092023849487, 0.8059554100036621
33, 0.8259912729263306, 0.8032769560813904
34, 0.8235293030738831, 0.7967048287391663
35, 0.8251040577888489, 0.791992723941803
36, 0.8208876848220825, 0.7935360670089722
37, 0.8151382803916931, 0.7881661653518677
38, 0.8110193014144897, 0.7855889797210693
39, 0.8065450191497803, 0.7861867547035217
40, 0.8072627782821655, 0.7922444939613342
41, 0.8024548292160034, 0.7797749638557434
42, 0.797408401966095, 0.7689945697784424
43, 0.7978007197380066, 0.7670396566390991
44, 0.7945584058761597, 0.7685564756393433
45, 0.7887359261512756, 0.7589441537857056
46, 0.7858530879020691, 0.7562077045440674
47, 0.7801899313926697, 0.7515254616737366
48, 0.7795255780220032, 0.7562282085418701
49, 0.7788026332855225, 0.754393458366394
50, 0.7707595229148865, 0.7450153827667236
51, 0.7675429582595825, 0.739378035068512
52, 0.7674452662467957, 0.74491947889328
53, 0.7615736126899719, 0.7355188131332397
54, 0.7588427662849426, 0.7273960709571838
55, 0.7539963722229004, 0.7266349196434021
56, 0.7474870681762695, 0.7344894409179688
57, 0.745263397693634, 0.7273470163345337
58, 0.7378525137901306, 0.7175275683403015
59, 0.7338816523551941, 0.7157416343688965
60, 0.7353853583335876, 0.7044745683670044
61, 0.7272129654884338, 0.7024478912353516
62, 0.7224690318107605, 0.7033827304840088
63, 0.715907096862793, 0.6996068954467773
64, 0.7105876803398132, 0.694348156452179
65, 0.7071394920349121, 0.7037636041641235
66, 0.7058197855949402, 0.6901580691337585
67, 0.7005171775817871, 0.6701118350028992
68, 0.6954628229141235, 0.6709298491477966
69, 0.6876684427261353, 0.675147294998169
70, 0.6859473586082458, 0.6671361923217773
71, 0.6809329390525818, 0.6689868569374084
72, 0.6667953729629517, 0.661125659942627
73, 0.667760968208313, 0.6665425300598145
74, 0.6609274744987488, 0.6461116075515747
75, 0.6568257808685303, 0.6514827609062195
76, 0.6568124294281006, 0.6470687985420227
77, 0.6614881157875061, 0.6402218341827393
78, 0.6436776518821716, 0.6426481008529663
79, 0.6355109214782715, 0.6358092427253723
80, 0.6411365866661072, 0.6198421120643616
81, 0.6267215013504028, 0.6251845955848694
82, 0.6217448711395264, 0.6248597502708435
83, 0.6107140779495239, 0.6116347908973694
84, 0.6176946759223938, 0.611075758934021
85, 0.6092624664306641, 0.5997647643089294
86, 0.6132893562316895, 0.6028040647506714
87, 0.5965500473976135, 0.5853419303894043
88, 0.5905936360359192, 0.5895418524742126
89, 0.5875000357627869, 0.5798401236534119
90, 0.5765226483345032, 0.5860309600830078
91, 0.5675346851348877, 0.576316237449646
92, 0.5693739056587219, 0.5671934485435486
93, 0.5567942261695862, 0.5605367422103882
94, 0.551095724105835, 0.5625574588775635
95, 0.5446487069129944, 0.5567962527275085
96, 0.5536563992500305, 0.5600202679634094
97, 0.5475623607635498, 0.5618661642074585
98, 0.5319851040840149, 0.5391667485237122
99, 0.5220733880996704, 0.5440649390220642
100, 0.5321868062019348, 0.5613904595375061
