Current_epoch,Train_loss,Validation_loss
1, 0.9754399657249451, 0.9378491640090942
2, 0.9447386860847473, 0.9223300814628601
3, 0.9268178343772888, 0.9238021373748779
4, 0.9251287579536438, 0.919593870639801
5, 0.9207864999771118, 0.9217695593833923
6, 0.9169297814369202, 0.9100779294967651
7, 0.9155354499816895, 0.8847068548202515
8, 0.9105693101882935, 0.888830840587616
9, 0.9077292084693909, 0.8833146095275879
10, 0.9036898016929626, 0.8605866432189941
11, 0.899280309677124, 0.8501747846603394
12, 0.9000890254974365, 0.8513166308403015
13, 0.8956582546234131, 0.8643788695335388
14, 0.8940122723579407, 0.8413696885108948
15, 0.8914440274238586, 0.8406450152397156
16, 0.8895767331123352, 0.8365554213523865
17, 0.8890112042427063, 0.8354026675224304
18, 0.8865283131599426, 0.8491101861000061
19, 0.8844812512397766, 0.8630229234695435
20, 0.8847483396530151, 0.8538643717765808
21, 0.8815926313400269, 0.8185792565345764
22, 0.8792116045951843, 0.8180931210517883
23, 0.8778281807899475, 0.8303481936454773
24, 0.877102255821228, 0.8125798106193542
25, 0.8737834692001343, 0.8065894246101379
26, 0.8710334300994873, 0.9991037845611572
27, 0.8722271919250488, 0.8720462918281555
28, 0.8700142502784729, 0.8073916435241699
29, 0.8677675724029541, 0.8038323521614075
30, 0.8650254011154175, 0.7907120585441589
31, 0.8629001379013062, 0.8031628131866455
32, 0.8603554964065552, 0.786630392074585
33, 0.8601353764533997, 0.7814403772354126
34, 0.8579631447792053, 0.7878931760787964
35, 0.8539679050445557, 0.787926197052002
36, 0.8515062928199768, 0.8074853420257568
37, 0.852944016456604, 0.787497878074646
38, 0.8490865230560303, 0.7697661519050598
39, 0.8468616008758545, 0.7917290329933167
40, 0.8448323607444763, 0.7752602696418762
41, 0.8451060652732849, 0.772551417350769
42, 0.8397505283355713, 0.7557485699653625
43, 0.837642252445221, 0.7869868874549866
44, 0.8376942873001099, 0.7717769742012024
45, 0.835625410079956, 0.8179455995559692
46, 0.8323654532432556, 0.7451118230819702
47, 0.8285094499588013, 0.753247082233429
48, 0.8261780142784119, 0.7529109716415405
49, 0.8237674236297607, 0.7550613880157471
50, 0.8276544213294983, 0.7332687377929688
51, 0.8211824893951416, 0.7469547986984253
52, 0.8142562508583069, 0.7315645217895508
53, 0.813351571559906, 0.7385234236717224
54, 0.8104874491691589, 0.749401867389679
55, 0.810272216796875, 0.7620012760162354
56, 0.8048714399337769, 0.7475244998931885
57, 0.8069917559623718, 0.7539834380149841
58, 0.806189775466919, 0.7234251499176025
59, 0.8001920580863953, 0.7144683003425598
60, 0.7960988879203796, 0.7738084197044373
61, 0.7954401969909668, 0.7135632634162903
62, 0.7886710166931152, 0.6952858567237854
63, 0.7874393463134766, 0.7090499997138977
64, 0.7850706577301025, 0.7204187512397766
